name,address,city,state,neighborhood,phone,email,website,management_company
Mr. C Residences,"2655 S Bayshore Dr",Miami,FL,Coconut Grove,305-800-0672,,https://mrcresidencescoconutgrove.com/,
Elemi at Grove Village,"3471 Main Hwy",Miami,FL,Coconut Grove,305-529-9988,,https://www.elemigrove.com/,
Grove at Grand Bay,"2675 S Bayshore Dr",Miami,FL,Coconut Grove,305-860-5757,,https://www.groveatgrandbay.com/,Terra Group
Blu27 at Edgewater,"2700 NE 27th St",Miami,FL,Edgewater,786-558-6060,,https://www.blu27aptsmiami.com/,
Bezel Miami Worldcenter,"851 NE 1st Ave",Miami,FL,Downtown,786-864-1851,,https://www.bezelmiami.com/,
Muze at Met,"201 SE 3rd Ave",Miami,FL,Downtown,305-358-3636,,https://www.muzemetmiami.com/,
Grand Station,"240 NW 25th St",Miami,FL,Wynwood,786-703-0300,,https://www.grandstationmiami.com/,
Arte Grand Central,"145 NW 8th St",Miami,FL,Overtown,786-953-6666,,https://avantiresidential.com/,Avanti Residential
19 Dutch,"19 Dutch St",New York,NY,Financial District,212-748-1919,,https://www.19dutch.com/,
The Capitol,"306 E 35th St",New York,NY,NoMad,212-213-9000,,https://www.thecapitolnyc.com/,
Rose Hill,"30 E 29th St",New York,NY,NoMad,212-951-9000,,https://www.rosehillnyc.com/,Rockefeller Group
The Eugene,"435 W 31st St",New York,NY,Hudson Yards,646-652-3232,,https://www.theeugenenyc.com/,Brookfield
Lantern House,"515 W 18th St",New York,NY,Chelsea,212-616-7000,,https://lanternhousenyc.com/,Related
35 Hudson Yards,"35 Hudson Yards",New York,NY,Hudson Yards,212-708-3535,,https://www.35hudsonyards.com/,Related
One High Line,"500 W 18th St",New York,NY,Chelsea,212-228-1500,,https://onehighline.com/,
Maple Terrace,"3003 Maple Ave",Dallas,TX,Uptown,214-855-5900,,https://www.mapleterracedallas.com/,
The Oliver,"1999 Bryan St",Dallas,TX,Downtown,469-243-8000,,https://www.theoliverdallas.com/,
Residences at Park District,"2627 Howell St",Dallas,TX,Uptown,469-930-4500,,https://liveparkdistrict.com/,
Sentral DTLA,"755 S Spring St",Los Angeles,CA,Downtown,213-315-3700,,https://www.sentral.com/los-angeles/dtla,Sentral
The Quincy,"78 E 7th St",Austin,TX,Rainey Street,512-580-7800,,https://quincyatx.com/,
SkyHouse Austin,"51 Rainey St",Austin,TX,Rainey Street,512-494-5100,,https://www.skyhouseaustin.com/,Simpson Property Group
Pullman Gulch Union,"1111 Division St",Nashville,TN,The Gulch,615-490-8888,,https://www.pullmanproperties.com/,
Twelve Twelve,"1212 Laurel St",Nashville,TN,The Gulch,615-301-0032,,https://www.1212nashville.com/,
